iter	RMSE
0	0.5890141816
1	0.5194664941
2	0.4639241284
3	0.4211998362
4	0.3860897535
5	0.3575513622
6	0.3357527038
7	0.3191937833
8	0.3069449052
9	0.2970334419
10	0.2891953979
11	0.2831166222
12	0.2783080166
13	0.2744072226
14	0.2710821386
15	0.2681784208
16	0.2657992268
17	0.2639081316
18	0.2622668608
19	0.2608779634
20	0.2598844732
21	0.2587409499
22	0.2577285502
23	0.2563348634
24	0.2551909712
25	0.2542753008
26	0.2534941231
27	0.2526299651
28	0.2520373779
29	0.2512975399
30	0.2507212094
31	0.2501073018
32	0.2496294259
33	0.2492405173
34	0.248670337
35	0.2483269235
36	0.2478641615
37	0.2473026784
38	0.2466579522
39	0.2462933989
40	0.2456023559
41	0.2448106988
42	0.2442523918
43	0.2438338446
44	0.243631302
45	0.2432099301
46	0.2427437284
47	0.2424499197
48	0.2422292048
49	0.2420253073
50	0.2416029001
51	0.2413846107
52	0.2411895513
53	0.2409910075
54	0.2407901588
55	0.2405291138
56	0.2403769957
57	0.2401162477
58	0.2397626714
59	0.239243927
60	0.2390160393
61	0.2387461125
62	0.2383314689
63	0.2380922462
64	0.2378336244
65	0.2375646053
66	0.2373656373
67	0.237155289
68	0.2368878748
69	0.2367272002
70	0.2365609292
71	0.236326071
72	0.2361448152
73	0.2358830578
74	0.2356490982
75	0.2354690204
76	0.235249545
77	0.2349875532
78	0.2347473371
79	0.2346144239
80	0.2343898754
81	0.2341779723
82	0.2340168985
83	0.2337901724
84	0.2335532609
85	0.2333842239
86	0.2332610477
87	0.2330710151
88	0.232941757
89	0.2328298446
90	0.2325235335
91	0.232102318
92	0.2318214827
93	0.2316802631
94	0.2314656693
95	0.2313259518
96	0.2311754773
97	0.2309628304
98	0.2308256377
99	0.2305262073
100	0.2304118387
101	0.2302954869
102	0.2301283054
103	0.2300157896
104	0.2298208977
105	0.2296002734
106	0.2294880917
107	0.2293240367
108	0.2291711687
109	0.229029489
110	0.2288506063
111	0.2286386737
112	0.2285051616
113	0.228371959
114	0.2282280853
115	0.2281254427
116	0.2280402548
117	0.2278378537
118	0.2277166677
119	0.2274955613
120	0.2272466148
121	0.2271237403
122	0.2269267904
123	0.2267758528
124	0.2266292388
125	0.2265206649
126	0.2263943325
127	0.2263210364
128	0.2261833407
129	0.2260845756
130	0.2259921456
131	0.225849456
132	0.2257203745
133	0.2256257731
134	0.2255327812
135	0.2253944633
136	0.2252731972
137	0.2251907886
138	0.2250718052
139	0.2249884251
140	0.2248591517
141	0.2246096721
142	0.224529388
143	0.2243485422
144	0.2242441991
145	0.2241194384
146	0.2240079324
147	0.2239055453
148	0.2238224399
149	0.2237411829
150	0.2236633056
151	0.2234949412
152	0.2234140383
153	0.2233143437
154	0.2232286946
155	0.2231359219
156	0.2230335778
157	0.2229578234
158	0.222776154
159	0.2226310193
160	0.2225688629
161	0.2224394042
162	0.2223429072
163	0.2222851325
164	0.2221269103
165	0.2220635901
166	0.2219753228
167	0.2218554972
168	0.2217280437
169	0.2216308966
170	0.2215247401
171	0.2213812681
172	0.2212229109
173	0.2211075147
174	0.2210331473
175	0.2209399808
176	0.2208425306
177	0.220765776
178	0.2206552397
179	0.2205648451
180	0.2203786506
181	0.2202181959
182	0.2201324035
183	0.2200615962
184	0.2199562363
185	0.2199248665
186	0.2198119856
187	0.219701832
188	0.219620199
189	0.2195750146
190	0.2194411902
191	0.2193712528
192	0.2193310275
193	0.2192384399
194	0.2191905409
195	0.2191342526
196	0.2189757703
197	0.2188229173
198	0.2187411699
199	0.2186120175
200	0.2184537231
201	0.2183764747
202	0.2182059345
203	0.2180716116
204	0.2179196612
205	0.2178033571
206	0.2177111241
207	0.2176562696
208	0.2175687783
209	0.2175049235
210	0.2173860233
211	0.2173206597
212	0.2172105041
213	0.2170542235
214	0.21690987
215	0.2168197433
216	0.2167546461
217	0.216626157
218	0.2165645579
219	0.2165223712
220	0.2164790098
221	0.2163986013
222	0.2163283282
223	0.2161869818
224	0.2160974225
225	0.2159671013
226	0.2158738938
227	0.2157750951
228	0.2156626006
229	0.2156071552
230	0.215531023
231	0.2154851137
232	0.215445099
233	0.2153397175
234	0.2152500227
235	0.2151589456
236	0.2151017917
237	0.2150038088
238	0.2148999644
239	0.2148256946
240	0.21478367
241	0.2147081277
242	0.2146266085
243	0.2145768164
244	0.2144644532
245	0.214362483
246	0.2142393076
247	0.2141873223
248	0.2140939185
249	0.214052164
250	0.2140025561
251	0.2139326628
252	0.2138438561
253	0.2136769709
254	0.213613771
255	0.2135386824
256	0.2134629002
257	0.2134313243
258	0.2133921087
259	0.2133048232
260	0.2132387507
261	0.2131921549
262	0.2130948015
263	0.2130292831
264	0.2129644053
265	0.2128408466
266	0.2128011304
267	0.2127075861
268	0.21267186
269	0.2125930502
270	0.2124625459
271	0.2123392922
272	0.2122641766
273	0.2122249028
274	0.2121882322
275	0.2120303386
276	0.2119949679
277	0.2119092548
278	0.2118599284
279	0.2117631382
280	0.211676256
281	0.2116211738
282	0.2115788965
283	0.2114817036
284	0.211397225
285	0.2113065892
286	0.2112657223
287	0.2112034383
288	0.211133793
289	0.2109754936
290	0.2109113312
291	0.2108209695
292	0.2106781804
293	0.2105801259
294	0.2104329301
295	0.2103848061
296	0.2103298201
297	0.2102420873
298	0.2101473888
299	0.210083345
300	0.2099980656
301	0.2099340214
302	0.2098760671
303	0.2097948791
304	0.2097025167
305	0.2096376346
306	0.2095610177
307	0.2094919823
308	0.2093886128
309	0.2092867508
310	0.2092544776
311	0.2091731364
312	0.2090941596
313	0.2090731923
314	0.2090106001
315	0.2089764266
316	0.2089228905
317	0.2088981019
318	0.2088483079
319	0.2087708966
320	0.2086839711
321	0.2086089573
322	0.2085656199
323	0.2085004811
324	0.2084617054
325	0.2084323974
326	0.2083854606
327	0.2083110492
328	0.2082435109
329	0.208191515
330	0.2081239069
331	0.2080823276
332	0.2079747157
333	0.2079194193
334	0.2078668271
335	0.2077755449
336	0.2076940067
337	0.2076496013
338	0.2075934542
339	0.2075013318
340	0.2074097903
341	0.2073540455
342	0.207274971
343	0.2072195368
344	0.2071262257
345	0.2070865577
346	0.2070230637
347	0.2069938483
348	0.2069339918
349	0.2068943066
350	0.2068076188
351	0.2067295821
352	0.2066805763
353	0.2066109706
354	0.2065645493
355	0.2065095517
356	0.2064459252
357	0.2064056545
358	0.2063524736
359	0.2063258282
360	0.2062784489
361	0.2062150793
362	0.2061645355
363	0.206096996
364	0.2060225585
365	0.2059277349
366	0.2058815724
367	0.2058172577
368	0.2057610755
369	0.2057044028
370	0.2056377609
371	0.2055734297
372	0.2055297958
373	0.2054275636
374	0.2053736761
375	0.2053177838
376	0.2052545475
377	0.2052194418
378	0.2051478986
379	0.2050752289
380	0.2049518096
381	0.2048976548
382	0.2048501469
383	0.2047826228
384	0.2047379115
385	0.2046910351
386	0.2046490525
387	0.2045284002
388	0.2044329607
389	0.2043879281
390	0.2043534952
391	0.2043084109
392	0.2042522781
393	0.2042027818
394	0.2041727327
395	0.2041025124
396	0.2040496385
397	0.2039960817
398	0.2039677841
399	0.2039132276
400	0.2037504247
401	0.2037240607
402	0.2036570868
403	0.2036023638
404	0.2035609744
405	0.2035300709
406	0.20349453
407	0.2034485473
408	0.2034127866
409	0.2033262127
410	0.2032739588
411	0.2032193229
412	0.2031840395
413	0.2031561714
414	0.2031082244
415	0.2030458821
416	0.2030032663
417	0.2029457945
418	0.2029375041
419	0.2028942131
420	0.2028687581
421	0.2028179875
422	0.2027883873
423	0.2027226625
424	0.2026928275
425	0.2025998656
426	0.2024613474
427	0.2024222308
428	0.2023415675
429	0.2022497648
430	0.2022183995
431	0.2021914224
432	0.2021068079
433	0.2020650092
434	0.2019929247
435	0.2019456537
436	0.201871209
437	0.201826328
438	0.2017711385
439	0.2017208013
440	0.2016820717
441	0.2016243639
442	0.2015638859
443	0.2014788695
444	0.2014439616
445	0.2013876152
446	0.2013255837
447	0.2012836982
448	0.2012484676
449	0.2012022315
450	0.2011485766
451	0.2010826884
452	0.2010271717
453	0.2009962266
454	0.2009748192
455	0.2009300611
456	0.2008373371
457	0.2008055823
458	0.2007330417
459	0.2006937296
460	0.2006290566
461	0.2005188077
462	0.2004942836
463	0.2004599693
464	0.2004083001
465	0.2003844283
466	0.2003232566
467	0.2002817747
468	0.2002487976
469	0.2002152424
470	0.2001618863
471	0.2001344301
472	0.2000777878
473	0.2000465088
474	0.1999577708
475	0.1999075567
476	0.1998658893
477	0.1998154666
478	0.1997894394
479	0.1997669085
480	0.1997130218
481	0.1996775154
482	0.1996299244
483	0.199580449
484	0.1995166629
485	0.1994412571
486	0.1994076938
487	0.1993605249
488	0.1993342636
489	0.1993014502
490	0.1992658999
491	0.1992315594
492	0.1991979309
493	0.1991304213
494	0.1990943755
495	0.1990510318
496	0.1990180031
497	0.198886526
498	0.1988402405
499	0.198802902
500	0.1987315183
501	0.1986018285
502	0.1985167163
503	0.1984759562
504	0.1984154052
505	0.1983974004
506	0.198335808
507	0.1982466797
508	0.1981812618
509	0.1981365283
510	0.1980853739
511	0.198060407
512	0.1980353932
513	0.1979785814
514	0.1979082389
515	0.1978683748
516	0.1978213948
517	0.1977668476
518	0.1977491462
519	0.1976957037
520	0.1976600521
521	0.1975732239
522	0.1975564321
523	0.1975191487
524	0.1974888682
525	0.1974495673
526	0.1974022155
527	0.1973577191
528	0.1973238546
529	0.1972775197
530	0.1972340644
531	0.197204955
532	0.197177662
533	0.1971589238
534	0.1971130664
535	0.1970401487
536	0.1969909338
537	0.1969204905
538	0.1968975662
539	0.1968659667
540	0.1968189916
541	0.1967813585
542	0.1966937143
543	0.1966347958
544	0.1965997089
545	0.196537309
546	0.1964939437
547	0.1964712466
548	0.1964071214
549	0.1963580945
550	0.1963273677
551	0.1963001623
552	0.1962664876
553	0.1962511348
554	0.1962304327
555	0.1961585449
556	0.1961132066
557	0.1960703627
558	0.1960270909
559	0.1959974341
560	0.1959783915
561	0.1959230503
562	0.1958063551
563	0.1957535438
564	0.195718847
565	0.1956974831
566	0.1956648039
567	0.195593701
568	0.1955651673
569	0.1955441761
570	0.1954692752
571	0.1954471158
572	0.1953874126
573	0.1953533312
574	0.1953000633
575	0.1952386366
576	0.1951699316
577	0.1951317422
578	0.1950343482
579	0.1949741907
580	0.1948888306
581	0.1948535352
582	0.1948173191
583	0.1947976729
584	0.1947596329
585	0.1947206427
586	0.1946444366
587	0.1945902216
588	0.1945475488
589	0.1944891327
590	0.194408658
591	0.1943724389
592	0.1943170278
593	0.1942946357
594	0.1942817956
595	0.1942117644
596	0.194181635
597	0.1941387237
