iter	Passed	Remaining
0	13	8099
1	29	8646
2	42	8499
3	57	8471
4	71	8519
5	87	8652
6	102	8690
7	117	8656
8	131	8583
9	144	8495
10	159	8516
11	173	8490
12	189	8521
13	204	8543
14	220	8555
15	235	8554
16	250	8577
17	266	8572
18	280	8549
19	295	8541
20	309	8514
21	326	8535
22	341	8532
23	356	8535
24	372	8542
25	389	8558
26	406	8604
27	422	8598
28	438	8603
29	455	8631
30	471	8626
31	488	8635
32	503	8628
33	519	8620
34	536	8626
35	552	8621
36	568	8620
37	585	8626
38	600	8610
39	616	8593
40	633	8599
41	649	8600
42	667	8610
43	683	8602
44	698	8581
45	713	8567
46	729	8555
47	747	8559
48	763	8549
49	777	8524
50	792	8505
51	809	8503
52	823	8466
53	836	8429
54	851	8406
55	867	8393
56	881	8371
57	897	8354
58	913	8346
59	929	8338
60	944	8314
61	960	8302
62	975	8283
63	989	8259
64	1004	8234
65	1019	8214
66	1034	8197
67	1049	8181
68	1067	8181
69	1082	8166
70	1097	8143
71	1112	8124
72	1126	8098
73	1140	8078
74	1156	8064
75	1172	8051
76	1187	8034
77	1202	8016
78	1218	8002
79	1234	7991
80	1249	7972
81	1264	7957
82	1280	7942
83	1295	7928
84	1311	7914
85	1326	7896
86	1341	7880
87	1357	7865
88	1372	7847
89	1387	7830
90	1403	7819
91	1419	7804
92	1434	7786
93	1448	7766
94	1462	7743
95	1476	7722
96	1491	7705
97	1507	7691
98	1523	7677
99	1538	7663
100	1554	7649
101	1569	7633
102	1585	7621
103	1601	7604
104	1616	7592
105	1632	7577
106	1647	7560
107	1663	7548
108	1680	7537
109	1694	7519
110	1711	7508
111	1729	7503
112	1744	7489
113	1759	7469
114	1774	7454
115	1789	7436
116	1804	7420
117	1821	7407
118	1835	7387
119	1851	7374
120	1867	7361
121	1882	7344
122	1898	7329
123	1914	7317
124	1930	7304
125	1945	7288
126	1960	7271
127	1974	7251
128	1990	7235
129	2012	7246
130	2027	7227
131	2041	7207
132	2056	7191
133	2071	7171
134	2086	7157
135	2103	7145
136	2119	7130
137	2136	7121
138	2153	7111
139	2169	7098
140	2186	7085
141	2203	7075
142	2218	7059
143	2237	7053
144	2252	7036
145	2268	7022
146	2284	7007
147	2303	7003
148	2321	6996
149	2337	6981
150	2353	6966
151	2371	6957
152	2386	6940
153	2402	6925
154	2418	6912
155	2434	6897
156	2449	6880
157	2464	6863
158	2480	6848
159	2496	6833
160	2511	6815
161	2527	6802
162	2543	6788
163	2559	6774
164	2576	6762
165	2592	6746
166	2609	6733
167	2625	6720
168	2641	6704
169	2657	6690
170	2674	6677
171	2690	6663
172	2706	6650
173	2722	6633
174	2738	6619
175	2754	6605
176	2770	6590
177	2786	6575
178	2803	6561
179	2818	6545
180	2835	6533
181	2852	6519
182	2868	6506
183	2884	6490
184	2899	6472
185	2912	6451
186	2927	6434
187	2941	6414
188	2958	6402
189	2973	6385
190	2988	6368
191	3004	6354
192	3019	6335
193	3034	6318
194	3049	6302
195	3065	6286
196	3081	6271
197	3097	6256
198	3113	6242
199	3129	6226
200	3145	6212
201	3162	6199
202	3179	6186
203	3195	6172
204	3212	6157
205	3228	6143
206	3245	6129
207	3260	6114
208	3277	6100
209	3293	6084
210	3309	6070
211	3325	6054
212	3341	6039
213	3356	6023
214	3373	6009
215	3388	5993
216	3404	5977
217	3418	5958
218	3432	5940
219	3447	5923
220	3462	5905
221	3478	5890
222	3494	5875
223	3510	5861
224	3524	5842
225	3539	5826
226	3556	5812
227	3572	5796
228	3589	5783
229	3606	5769
230	3621	5753
231	3635	5734
232	3650	5718
233	3666	5704
234	3682	5688
235	3697	5672
236	3712	5655
237	3727	5638
238	3743	5622
239	3758	5606
240	3773	5589
241	3789	5575
242	3805	5559
243	3821	5543
244	3836	5528
245	3850	5509
246	3865	5492
247	3879	5475
248	3894	5458
249	3909	5441
250	3924	5425
251	3939	5409
252	3954	5391
253	3968	5375
254	3984	5359
255	4000	5344
256	4015	5328
257	4029	5310
258	4044	5294
259	4062	5280
260	4077	5264
261	4092	5248
262	4108	5233
263	4123	5217
264	4139	5201
265	4154	5185
266	4169	5168
267	4184	5152
268	4199	5135
269	4216	5122
270	4233	5107
271	4249	5092
272	4265	5077
273	4281	5063
274	4297	5048
275	4314	5034
276	4331	5019
277	4346	5003
278	4360	4986
279	4376	4970
280	4391	4954
281	4407	4938
282	4421	4921
283	4439	4908
284	4455	4892
285	4470	4877
286	4486	4861
287	4501	4845
288	4517	4830
289	4533	4815
290	4550	4800
291	4565	4784
292	4582	4769
293	4599	4756
294	4616	4741
295	4632	4726
296	4649	4711
297	4666	4697
298	4681	4681
299	4696	4665
300	4711	4648
301	4727	4633
302	4743	4617
303	4758	4602
304	4774	4586
305	4790	4571
306	4805	4555
307	4821	4539
308	4837	4524
309	4855	4510
310	4871	4495
311	4888	4480
312	4904	4465
313	4918	4448
314	4934	4433
315	4949	4417
316	4967	4403
317	4982	4387
318	4997	4371
319	5011	4353
320	5026	4337
321	5042	4322
322	5058	4306
323	5074	4291
324	5089	4275
325	5103	4258
326	5118	4241
327	5133	4226
328	5149	4210
329	5164	4194
330	5180	4178
331	5196	4163
332	5212	4148
333	5228	4132
334	5244	4116
335	5259	4101
336	5276	4086
337	5291	4070
338	5307	4055
339	5323	4039
340	5338	4023
341	5353	4007
342	5369	3991
343	5384	3975
344	5399	3959
345	5415	3943
346	5430	3927
347	5445	3911
348	5461	3896
349	5477	3881
350	5493	3865
351	5508	3849
352	5523	3833
353	5539	3817
354	5554	3802
355	5570	3786
356	5586	3771
357	5602	3755
358	5618	3740
359	5633	3724
360	5649	3708
361	5663	3692
362	5679	3676
363	5695	3661
364	5710	3645
365	5727	3630
366	5742	3614
367	5757	3598
368	5773	3582
369	5789	3567
370	5804	3551
371	5819	3535
372	5834	3519
373	5850	3504
374	5865	3488
375	5880	3472
376	5897	3457
377	5913	3441
378	5929	3426
379	5945	3411
380	5961	3395
381	5977	3379
382	5992	3364
383	6008	3348
384	6023	3332
385	6039	3317
386	6055	3301
387	6071	3286
388	6087	3270
389	6103	3254
390	6119	3239
391	6135	3224
392	6151	3208
393	6166	3192
394	6181	3176
395	6196	3160
396	6212	3145
397	6227	3129
398	6242	3113
399	6257	3097
400	6273	3082
401	6288	3066
402	6304	3050
403	6321	3035
404	6338	3020
405	6353	3004
406	6369	2988
407	6383	2972
408	6399	2957
409	6414	2941
410	6431	2926
411	6447	2910
412	6463	2895
413	6478	2879
414	6493	2863
415	6509	2847
416	6525	2832
417	6542	2817
418	6557	2801
419	6573	2785
420	6587	2769
421	6603	2753
422	6619	2738
423	6636	2723
424	6651	2707
425	6667	2691
426	6682	2676
427	6698	2660
428	6713	2644
429	6730	2629
430	6746	2614
431	6762	2598
432	6778	2582
433	6793	2566
434	6809	2551
435	6824	2535
436	6840	2520
437	6855	2504
438	6870	2488
439	6884	2472
440	6900	2456
441	6917	2441
442	6932	2425
443	6948	2409
444	6964	2394
445	6980	2378
446	6995	2363
447	7011	2347
448	7026	2331
449	7040	2315
450	7057	2300
451	7072	2284
452	7089	2269
453	7103	2252
454	7117	2236
455	7132	2221
456	7147	2205
457	7162	2189
458	7179	2174
459	7195	2158
460	7210	2142
461	7227	2127
462	7243	2111
463	7259	2096
464	7276	2081
465	7292	2065
466	7309	2050
467	7324	2034
468	7340	2018
469	7355	2003
470	7376	1988
471	7396	1974
472	7415	1959
473	7433	1944
474	7450	1929
475	7466	1913
476	7484	1898
477	7502	1883
478	7519	1867
479	7534	1852
480	7548	1836
481	7564	1820
482	7580	1804
483	7597	1789
484	7613	1773
485	7630	1758
486	7646	1742
487	7662	1727
488	7678	1711
489	7694	1695
490	7709	1680
491	7724	1664
492	7741	1648
493	7756	1632
494	7771	1617
495	7787	1601
496	7803	1585
497	7821	1570
498	7836	1554
499	7852	1538
500	7868	1523
